var_c1,var_c2,generic_label_en,generic_label_de,soft_trend_explanation,trend
A_D01a1,A2_D01a1,Month of the interview,Monat des Interviews,,Strict
A_D01a2,A2_D01a2,"Year, one year before interview","Jahr, ein Jahr vor dem Vorstellungsgespräch",,Strict
A_D01a3,A2_D01a3,Year of interview,Jahr des Interviews,,Strict
A_D01a4,A2_D01a4,Month and year combination,Kombination aus Monat und Jahr,,Strict
A_N01,A2_N02,Sex,Sex,,Strict
J_N05a2,A2_N04a2,More than one language at home in childhood,Mehr als eine Sprache zu Hause in der Kindheit,,Strict
A_Q01a,A2_Q01a,Birth year,Geburtsjahr,,Strict
A_Q01b,A2_Q01b,Birth month ,Geburtsmonat,,Strict
J_Q04a,A2_Q03a,Country of birth,Geburtsland,,Strict
J_Q04b,A2_Q03b,Country of birth,Geburtsland,,Strict
J_Q04c1,A2_Q03c1,Age at time of immigration,Alter zum Zeitpunkt der Einwanderung,,Strict
J_Q04c2,A2_Q03c2,Year at time of immigration,Jahr zum Zeitpunkt der Einwanderung,,Strict
J_Q06a,A2_Q03d,Mother’s country of birth,Geburtsland der Mutter,‘Female guardian’ was dropped so that question on country of birth refers to the biological mother. ,Soft
J_Q07a,A2_Q03e,Father’s country of birth,Geburtsland des Vaters,‘Male guardian’ was dropped so that question on country of birth refers to the biological mother.,Soft
J_Q05a1,A2_Q04a1,First language learned at home in childhood,"Muttersprache, die in der Kindheit zu Hause gelernt wurde",,Strict
J_Q05a2,A2_Q04a2,Second language learned at home in childhood,In der Kindheit zu Hause gelernte Zweitsprache,,Strict
J_Q05b,A2_Q04b,Language most commonly spoken at home currently,"Sprache, die derzeit zu Hause am häufigsten gesprochen wird",,Strict
J_S04b,A2_S03b,Country of birth,Geburtsland,,Strict
J_S05b,A2_S04a1,First language learned at home in childhood,"Muttersprache, die in der Kindheit zu Hause gelernt wurde",,Strict
J_S05a2,A2_S04a2,Second language learned at home in childhood,In der Kindheit zu Hause gelernte Zweitsprache,,Strict
B_Q01a,B2_Q01,Educational attainment,Bildungsstand,"PIAAC Cycle 1 made use of the old version of ISCED (ISCED 1997) as the new one was not yet implemented at the time the national versions of the BQ were developed. For PIAAC Cycle 2 we use a coding scheme based on ISCED 2011, distinguishing a maximum of 29 different categories: this allows a good differentiation between different levels and types of qualifications ",Soft
,B2_Q02a,Obtained other qualifications,Weitere Qualifikationen erworben,,New in Cy2
,B2_Q02b,Which other qualifications obtained,Welche weiteren Qualifikationen erworben wurden,,New in Cy2
,B2_Q03a ,Highest education obtained in country,Höchste im Land erworbene Ausbildung,,New in Cy2
,B2_Q03b ,Country of highest education,Land mit höchster Bildung,,New in Cy2
B_Q01b,B2_Q04a,Main area of study for highest qualification ,Hauptfachstudium für höchste Qualifikation,We have used a new classification based on ISCED-F 2013. ,Soft
B_Q01c1,B2_Q04b1,Age obtained highest qualification,Alter erreicht höchste Qualifikation,,Strict
B_Q01c2,B2_Q04b2,Year obtained highest qualification,"Jahr, in dem die höchste Qualifikation erreicht wurde",,Strict
,B2_Q04c,Month obtained highest qualification,Monat erhielt höchste Qualifikation,,New in Cy2
B_Q02a,B2_Q05a,Current participation in formal education ,Aktuelle Teilnahme an formaler Bildung,,Strict
B_Q02b,B2_Q05b, Qualification currently studying for,"Qualifikation, für die derzeit studiert wird","PIAAC Cycle 1 made use of the old version of ISCED (ISCED 1997) as the new one was not yet implemented at the time the national versions of the BQ were developed. For PIAAC Cycle 2 we use a coding scheme based on ISCED 2011, distinguishing a maximum of 29 different categories: this allows a good differentiation between different levels and types of qualifications ",Soft
B_Q02c,B2_Q05c,Main area of study for currently pursued qualification,Hauptfach des aktuell angestrebten Abschlusses,We have used a new classification based on ISCED-F 2013. ,Soft
B_Q03a,B2_Q06a,Started studying without completing qualification,Studium ohne Abschluss begonnen,,Strict
B_Q03b,B2_Q06b,Education started but not completed,"Die Ausbildung wurde begonnen, aber nicht abgeschlossen","PIAAC Cycle 1 made use of the old version of ISCED (ISCED 1997) as the new one was not yet implemented at the time the national versions of the BQ were developed. For PIAAC Cycle 2 we use a coding scheme based on ISCED 2011, distinguishing a maximum of 29 different categories: this allows a good differentiation between different levels and types of qualifications ",Soft
B_Q03c1,B2_Q06c1,Age when stopped studying for qualification that was not completed,"Alter, in dem das Studium für einen nicht abgeschlossenen Abschluss abgebrochen wurde",,Strict
B_Q03c2,B2_Q06c2,Year when stopped studying for qualification that was not completed,"Jahr, in dem das Studium für einen nicht abgeschlossenen Abschluss abgebrochen wurde",,Strict
,B2_Q08a,Participation in training,Teilnahme an Schulungen,,New in Cy2
,B2_Q08b,Number of training activities in the last 12 months,Anzahl der Trainingsaktivitäten in den letzten 12 Monaten,,New in Cy2
,B2_Q09 ,Participation in training beyond 12 months,Teilnahme an Schulungen über 12 Monate hinaus,,New in Cy2
,B2_Q10 ,Main focus of training,Schwerpunkt der Ausbildung,,New in Cy2
B_Q14a,B2_Q11,Training mainly job-related,Ausbildung überwiegend berufsbezogen,"The term “activity” was changed into “training activity” for consistency reasons. Furthermore, the content of the interviewer instruction was included in the item itself (after some rewording) following suggestions resulting from the pretest.",Soft
B_Q14b,B2_Q12,Main  reason  for participating in training,Hauptgrund für die Teilnahme am Training,"Some response categories were changed compared to Cycle 1, partly because they overlapped. One category was added to get information about important aspects not covered in Cycle 1 (“To better deal with new or changing work tasks”). The first response category, ""To do my job better and/or improve career prospects"" was split up for Cycle 2 and three categories which were not mentioned frequently in Cycle 1 or that overlapped with other response options were deleted (""To be less likely to lose my job""; ""To increase my possibilities of getting a job, or changing a job or profession""; “To start my own business”). In the category ""To obtain a certificate"", the aspect of renewing a certificate was included following the pretest. The wording of the question was changed slightly by dropping ""more precisely"" which was regarded as redundant. ",Soft
,B2_Q13a,Mode of administration of training,Art der Durchführung der Ausbildung,,New in Cy2
,B2_Q13d,Scheduling of training,Planung der Schulung,,New in Cy2
B_Q15a,B2_Q15,Employment status when participating in training,Beschäftigungsstatus bei Teilnahme an der Ausbildung,"In Cycle 1, this item only asked whether the respondent was employed (full- or part-time). This was broadened to include other statuses. ",Soft
,B2_Q16a,Training took place in normal work environment,Die Schulung fand in normaler Arbeitsumgebung statt,,New in Cy2
B_Q15b,B2_Q16b,Participating in training during working hours,Teilnahme an Schulungen während der Arbeitszeit,"The interviewer instructions were simplified, and the broken stem style changed to a complete question. ",Soft
,B2_Q16c ,Training for improving work performance by digitalization,Schulung zur Verbesserung der Arbeitsleistung durch Digitalisierung,,New in Cy2
B_Q15c,B2_Q17,Usefulness of training for job,Nützlichkeit der Ausbildung für den Beruf,Wording of question was simplified. ,Soft
,B2_Q18 ,Certificate for participation in training,Zertifikat für die Teilnahme an der Schulung,,New in Cy2
,B2_Q20,Who paid for costs of training,Wer hat die Schulungskosten bezahlt?,,New in Cy2
B_Q17,B2_Q21,Total time spent on training,"Gesamtzeit, die für das Training aufgewendet wurde",The measurement of total time spent on training was changed asking only for the number of hours spent on the last training activity. This was done after the pretest results indicated that this measure resulted in mostly the same kind of answers as in the more complex set of questions. ,Soft
B_Q18,B2_Q21,Total time spent on training,"Gesamtzeit, die für das Training aufgewendet wurde",The measurement of total time spent on training was changed asking only for the number of hours spent on the last training activity. This was done after the pretest results indicated that this measure resulted in mostly the same kind of answers as in the more complex set of questions. ,Soft
B_Q19,B2_Q21,Total time spent on training,"Gesamtzeit, die für das Training aufgewendet wurde",The measurement of total time spent on training was changed asking only for the number of hours spent on the last training activity. This was done after the pretest results indicated that this measure resulted in mostly the same kind of answers as in the more complex set of questions. ,Soft
B_Q20a,B2_Q21,Total time spent on training,"Gesamtzeit, die für das Training aufgewendet wurde",The measurement of total time spent on training was changed asking only for the number of hours spent on the last training activity. This was done after the pretest results indicated that this measure resulted in mostly the same kind of answers as in the more complex set of questions. ,Soft
B_Q26a,B2_Q22,Barriers to training,Hindernisse für die Ausbildung,The wording of this item was adjusted to exclude formal education. ,Soft
B_Q26b,B2_Q23,Barriers to training - reasons,Ausbildungshindernisse – Gründe,The response categories were slightly changed compared to Cycle 1 and include new categories in order to cover more different areas which might deter respondents from participation education and training. ,Soft
,B2_S03b ,Other country of highest foreign education,Anderes Land mit höchster ausländischer Bildung,,New in Cy2
C_Q01a,C2_Q01a ,PAID work in the last week,BEZAHLTE Arbeit in der letzten Woche,,Strict
C_Q01b,C2_Q01b ,Temporarily away from a job or business in the last week,In der letzten Woche vorübergehend von der Arbeit oder dem Unternehmen abwesend,,Strict
C_Q01c,C2_Q01c,UNPAID work in own or family business in the last week,UNBEZAHLTE Arbeit im eigenen oder Familienunternehmen in der letzten Woche,,Strict
C_Q02a,C2_Q02a ,ACTIVELY looking for paid work,AKTIV auf der Suche nach bezahlter Arbeit,The word “ACTIVELY” plus examples have been added to this question.,Soft
C_Q02b,C2_Q02b,Waiting to start a job,"Ich warte darauf, einen Job zu beginnen",,Strict
C_Q03,C2_Q03,Reasons for not looking for work,"Gründe dafür, keine Arbeit zu suchen",,Strict
C_S03,C2_Q04,Job search duration,Dauer der Jobsuche,,Strict
C_Q05,C2_Q05,Available to start work within 2 weeks,"Verfügbar, um innerhalb von 2 Wochen mit der Arbeit zu beginnen",,Strict
C_Q06,C2_Q06,Number of jobs,Anzahl der Arbeitsplätze,,Strict
C_Q07,C2_Q07,Self-reported current situation,Selbstberichtete aktuelle Situation,"Changed the category ''apprentice, internship'' into ''apprentice, intern'' for consistency reasons. The other categories remained unchanged.",Soft
,C2_Q08a,Total time out of work in last 5 years,Gesamtzeit der Arbeitsunfähigkeit in den letzten 5 Jahren,,New in Cy2
,C2_Q08b,Total time out of work in last 5 years,Gesamtzeit der Arbeitsunfähigkeit in den letzten 5 Jahren,,New in Cy2
C_Q08a,C2_Q09a,Ever had paid work,Hatte jemals bezahlte Arbeit,,Strict
C_Q08b,C2_Q09b,Paid work in last 12 months,Bezahlte Arbeit in den letzten 12 Monaten,,Strict
C_Q08c1,C2_Q09c1,Age stopped working,Das Alter hat aufgehört zu funktionieren,,Strict
C_Q08c2,C2_Q09c2,Year stopped working,Das Jahr funktionierte nicht mehr,,Strict
C_Q09,C2_Q10,Total years in paid work,Gesamtzahl der Jahre in bezahlter Arbeit,,Strict
,C2_Q11,"Unemployment benefits, disability benefits, sickness benefits or retirement benefits","Arbeitslosengeld, Invaliditätsgeld, Krankengeld oder Altersrente",,New in Cy2
C_Q10a,C2_Q12,Number of firms or organizations in last 5 years,Anzahl der Firmen oder Organisationen in den letzten 5 Jahren,,Strict
D_Q01a,D2_Q01a,Job title,Berufsbezeichnung,,Strict
D_Q01b,D2_Q01b,Most important responsibilities in job,Wichtigste Aufgaben im Job,,Strict
D_Q02a,D2_Q02a,"Kind of business, industry or service","Art von Geschäft, Branche oder Dienstleistung",,Strict
D_Q02b,D2_Q02b,Firm or organisation ,Firma oder Organisation,,Strict
D_Q03,D2_Q03,Sector,Sektor,,Strict
D_Q04,D2_Q04,Employee or self-employed,Angestellter oder Selbstständiger,,Strict
D_Q05a1,D2_Q05a1,Age start working current employer,"Alter bei Arbeitsbeginn, aktueller Arbeitgeber",,Strict
D_Q05a2,D2_Q05a2,Year start working current employer,Jahr des Arbeitsbeginns beim derzeitigen Arbeitgeber,,Strict
D_Q05a3,D2_Q05a3,Month  start working current employer,Monat Arbeitsbeginn beim aktuellen Arbeitgeber,,Strict
D_Q05b1,D2_Q05b1,Age start working in current business,Alter Beginn der Arbeit im aktuellen Geschäft,,Strict
D_Q05b2,D2_Q05b2,Year start working in current business ,Jahr Beginn der Arbeit im laufenden Geschäft,,Strict
D_Q05b3,D2_Q05b3,Month start working in current business,Monat Beginn der Arbeit im laufenden Geschäft,,Strict
,D2_Q06a,Changes in job level,Änderungen in der Jobebene,,New in Cy2
,D2_Q06b,Changes in tasks and responsibilities,Änderungen in Aufgaben und Verantwortlichkeiten,,New in Cy2
,D2_Q06c,Changes in department or unit,Änderungen in der Abteilung oder Einheit,,New in Cy2
D_Q06a,D2_Q07a,Firm size ,Feste Größe,The answer categories for firm size are changed to bring them in line with the international definition. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp. 17).  ,Soft
D_Q06c,D2_Q07c,Part of larger organisation,Teil einer größeren Organisation,,Strict
D_Q07a,D2_Q08a,Employees working for you,"Mitarbeiter, die für Sie arbeiten",,Strict
D_Q07b,D2_Q08b,Number of employees,Anzahl der Mitarbeiter,The answer categories for firm size are changed to bring them in line with the international definition. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp. 17).  ,Soft
D_Q08a,D2_Q09a,Supervisory status,Aufsichtsstatus,,Strict
D_Q08b,D2_Q09b,Number of subordinates,Anzahl der Untergebenen,,Strict
D_Q09,D2_Q10,Type of contract,Art des Vertrags,"The answer categories for the contract type are updated to bring them in line with the ongoing change on the labour market. Two contract types are added: a zero hour contract and a freelance, contractor and/or consultant contract. Also, seasonal contracts are now explicitly mentioned with the fixed term contracts category. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp.",Soft
D_Q10,D2_Q11,Working hours,Arbeitszeit,,Strict
D_Q12a,D2_Q12a,Required education for getting current job,"Erforderliche Ausbildung, um den aktuellen Job zu bekommen","PIAAC Cycle 1 made use of the old version of ISCED (ISCED 1997) as the new one was not yet implemented at the time the national versions of the BQ were developed. For PIAAC Cycle 2 we use a coding scheme based on ISCED 2011, distinguishing a maximum of 28 different categories: this allows a good differentiation between different levels and types of qualifications ",Soft
,D2_Q12b,Qualification to get the job is also qualification to do the job,"Die Qualifikation, den Job zu bekommen, ist auch die Qualifikation, den Job auszuführen",,New in Cy2
,D2_Q12c,Required education for doing current job,Erforderliche Ausbildung für die aktuelle Tätigkeit,,New in Cy2
D_Q12c,D2_Q12d,Required work experience,Erforderliche Berufserfahrung,,Strict
D_Q14,D2_Q13,Job satisfaction,Arbeitszufriedenheit,,Strict
D_Q16a,D2_Q14a,Earnings basis,Verdienstbasis,,Strict
D_Q16b,D2_Q14b,Usual gross pay,Üblicher Bruttolohn,,Strict
D_Q16c,D2_Q14c,Usual gross pay,Üblicher Bruttolohn,,Strict
D_Q16d1,D2_Q14d1,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d2,D2_Q14d2,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d3,D2_Q14d3,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d4,D2_Q14d4,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d5,D2_Q14d5,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q16d6,D2_Q14d6,Specification plausible hourly wage,Angabe eines plausiblen Stundenlohns,,Strict
D_Q17a,D2_Q15a,Additional earnings?,Zusatzverdienst?,,Strict
D_Q17b,D2_Q15b,How much additional earnings?,Wie viel Zusatzverdienst?,,Strict
D_Q17c,D2_Q15c,Prepared to answer in broad categories,"Bereit, in breiten Kategorien zu antworten",,Strict
D_Q17d,D2_Q15d,Broad ranges for additional payments,Große Bandbreiten für Nachzahlungen,,Strict
D_Q18a,D2_Q16a,Earnings from business,Einnahmen aus dem Geschäft,,Strict
D_Q18b,D2_Q16b,Earnings from business,Einnahmen aus dem Geschäft,,Strict
D_Q18c1,D2_Q16c1,Broad earnings ranges for self-employed,Große Verdienstspannen für Selbstständige,,Strict
D_Q18c2,D2_Q16c2,Broad earnings ranges for self-employed,Große Verdienstspannen für Selbstständige,,Strict
D_S09,D2_S10,Specify type of contract,Vertragsart angeben,,Strict
D_S16a,D2_S14a,Earnings basis,Verdienstbasis,,Strict
E_Q01a,E2_Q01a,Job title of last job,Berufsbezeichnung der letzten Tätigkeit,,Strict
E_Q01b,E2_Q01b,Most important responsibilities in last job,Wichtigste Aufgaben im letzten Job,,Strict
E_Q02a,E2_Q02a,"Kind of business, industry or service","Art von Geschäft, Branche oder Dienstleistung",,Strict
E_Q02b,E2_Q02b,Firm or organisation ,Firma oder Organisation,,Strict
E_Q03,E2_Q03,Sector,Sektor,,Strict
E_Q04,E2_Q04,Employee or self-employed,Angestellter oder Selbstständiger,,Strict
E_Q05a1,E2_Q05a1,Age start working former employer,Alter des früheren Arbeitgebers,,Strict
E_Q05a2,E2_Q05a2,Year start working former employer,Jahr Beginn der Arbeit beim ehemaligen Arbeitgeber,,Strict
E_Q05b1,E2_Q05b1,Age start working in former business,Alter beginnt in einem früheren Unternehmen zu arbeiten,,Strict
E_Q05b2,E2_Q05b2,Year start working in former business ,Jahr Beginn der Arbeit im ehemaligen Unternehmen,,Strict
E_Q06,E2_Q06,Firm size,Feste Größe,The answer categories for firm size are changed to bring them in line with the international definition. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp. 17).  ,Soft
E_Q07a,E2_Q07a,Employees working for you,"Mitarbeiter, die für Sie arbeiten",,Strict
E_Q07b,E2_Q07b,Number of employees,Anzahl der Mitarbeiter, The answer categories for firm size are changed to bring them in line with the international definition. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp. 17).  ,Soft
E_Q10,E2_Q08,Type of contract in last job,Art des Vertrags im letzten Job,"The answer categories for the contract type are updated to bring them in line with the ongoing change on the labour market. Two contract types are added: a zero hour contract and a freelance, contractor and/or consultant contract. Also, seasonal contracts are now explicitly mentioned with the fixed term contracts category. This was recommended by the working group on 'Skills use and mismatch'. See document 'Improving the measurement of skills use and mismatch in the second cycle of PIAAC' (pp. 17).",Soft
E_Q09,E2_Q09,Working hours in last job,Arbeitszeiten im letzten Job,,Strict
,E2_Q10a,Required education for getting last job,Erforderliche Ausbildung für den letzten Job,,New in Cy2
,E2_Q10b,Qualification to get the job is also qualification to do the job,"Die Qualifikation, den Job zu bekommen, ist auch die Qualifikation, den Job auszuführen",,New in Cy2
,E2_Q10c,Required education for doing last job,Erforderliche Ausbildung für die letzte Tätigkeit,,New in Cy2
,E2_Q10d,Required work experience,Erforderliche Berufserfahrung,,New in Cy2
,E2_Q11a,Stopped working in last job voluntarily or involuntarily,Hat im letzten Job freiwillig oder unfreiwillig aufgehört zu arbeiten,,New in Cy2
,E2_Q11b,Main reason stopped working in last job,"Der Hauptgrund dafür war, dass ich im letzten Job nicht mehr gearbeitet habe",,New in Cy2
E_S08,E2_S08,Specify former contract type,Geben Sie die frühere Vertragsart an,,Strict
G_Q01a,F2_Q01a,Read directions and instruction,Lesen Sie die Anweisungen und Anweisungen,,Strict
G_Q01b,F2_Q01b,"Read letters, memos or e-mails","Lesen Sie Briefe, Memos oder E-Mails",,Strict
G_Q01c,F2_Q01c,"Read articles in newspaper, magazines or newsletters ","Lesen Sie Artikel in Zeitungen, Zeitschriften oder Newslettern",,Strict
,F2_Q01d,"Read books, scholarly publications, or articles in professional journals ","Lesen Sie Bücher, wissenschaftliche Veröffentlichungen oder Artikel in Fachzeitschriften",,New in Cy2
G_Q01f,F2_Q01e,Read manuals or reference materials,Lesen Sie Handbücher oder Referenzmaterialien,,Strict
G_Q01g,F2_Q01f,"Read bills, invoices, bank statements or other financial statements","Lesen Sie Rechnungen, Rechnungen, Kontoauszüge oder andere Finanzberichte",,Strict
,F2_Q01g,Read posts or commentaries on social media,Lesen Sie Beiträge oder Kommentare in sozialen Medien,,New in Cy2
G_Q02a,F2_Q02a,"Write letters, memos or emails","Schreiben Sie Briefe, Memos oder E-Mails",,Strict
,F2_Q02b,Write reports or articles,Schreiben Sie Berichte oder Artikel,,New in Cy2
G_Q02d,F2_Q02c,Fill in forms,Füllen Sie Formulare aus,,Strict
,F2_Q02d,Write posts or commentaries on social media,Schreiben Sie Beiträge oder Kommentare in sozialen Medien,,New in Cy2
,F2_Q03a,Undertake calculations,Führen Sie Berechnungen durch,,New in Cy2
,F2_Q03b,"Use maps, plans or GPS for finding directions and locations","Verwenden Sie Karten, Pläne oder GPS, um Wegbeschreibungen und Standorte zu finden",,New in Cy2
,F2_Q03c,Undertake measurements,Nehmen Sie Messungen vor,,New in Cy2
G_Q03f,F2_Q03d,"Read and prepare charts, graphs or tables","Lesen und bereiten Sie Diagramme, Grafiken oder Tabellen vor","An important use of graphs and charts is the ability to read them, not to just prepare them. Therefore the wording changed in ‘read and prepare’ instead of ‘prepare’.",Soft
G_Q03h,F2_Q03e,Use advanced mathematics or statistics,Verwenden Sie fortgeschrittene Mathematik oder Statistik,These items are compared to Cycle 1 generally somewhat broader and generic.,Soft
G_Q04,F2_Q04,Use a computer ,Benutzen Sie einen Computer,,Strict
G_Q05a,F2_Q05a,Use email,Verwenden Sie E-Mail,Combined with G_Q05h for Cy2,Soft
G_Q05h,F2_Q05a,Participate in real-time discussions on the internet,Nehmen Sie an Echtzeitdiskussionen im Internet teil,Combined with G_Q05a for Cy2,Soft
,F2_Q05a,Use ICT to communicate with others,"Nutzen Sie IKT, um mit anderen zu kommunizieren",,New in Cy2
G_Q05c,F2_Q05c,Use ICT to access information ,"Nutzen Sie IKT, um auf Informationen zuzugreifen",These items are compared to Cycle 1 generally somewhat broader and generic.,Soft
