var_c1,var_c2,generic_label_en,generic_label_de,soft_trend_explanation,trend
,F2_Q05d,"Use ICT to create or edit electronic documents, spreadsheets or presentations","Nutzen Sie IKT, um elektronische Dokumente, Tabellenkalkulationen oder Präsentationen zu erstellen oder zu bearbeiten",,New in Cy2
,F2_Q05e,Use ICT to use specialized software,"Nutzen Sie IKT, um spezielle Software zu nutzen",,New in Cy2
G_Q05g,F2_Q05f,Use a programming language to program or write computer code,"Verwenden Sie IKT, um eine Programmiersprache zum Programmieren von Software zu verwenden",These items are compared to Cycle 1 generally somewhat broader and generic.,Soft
H_Q01a,G2_Q01a,Read directions and instruction,Lesen Sie die Anweisungen und Anweisungen,,Strict
H_Q01b,G2_Q01b,"Read letters, memos or e-mails","Lesen Sie Briefe, Memos oder E-Mails",,Strict
H_Q01c,G2_Q01c,"Read articles in newspaper, magazines or newsletters ","Lesen Sie Artikel in Zeitungen, Zeitschriften oder Newslettern",,Strict
H_Q01e,G2_Q01d,"Read books, fiction or non-fiction","Lesen Sie Bücher, Belletristik oder Sachbücher",,Strict
H_Q01f,G2_Q01e,Read manuals or reference materials,Lesen Sie Handbücher oder Referenzmaterialien,,Strict
H_Q01g,G2_Q01f ,"Read bills, invoices, bank statements or other financial statements","Lesen Sie Rechnungen, Rechnungen, Kontoauszüge oder andere Finanzberichte",,Strict
,G2_Q01g,Read posts or commentaries on social media,Lesen Sie Beiträge oder Kommentare in sozialen Medien,,New in Cy2
H_Q02a,G2_Q02a,"Write letters, memos or emails","Schreiben Sie Briefe, Memos oder E-Mails",,Strict
,G2_Q02b,Write reports or articles,Schreiben Sie Berichte oder Artikel,,New in Cy2
H_Q02d,G2_Q02c,Fill in forms,Füllen Sie Formulare aus,,Strict
,G2_Q02d,Write posts or commentaries on social media,Schreiben Sie Beiträge oder Kommentare in sozialen Medien,,New in Cy2
,G2_Q03a,Undertake calculations,Führen Sie Berechnungen durch,,New in Cy2
,G2_Q03b,Use information to make financial decisions,"Nutzen Sie Informationen, um finanzielle Entscheidungen zu treffen",,New in Cy2
,G2_Q03c,Undertake measurements,Nehmen Sie Messungen vor,,New in Cy2
H_Q03f,G2_Q03d,"Read and prepare charts, graphs or tables","Lesen und bereiten Sie Diagramme, Grafiken oder Tabellen vor","An important use of graphs and charts is the ability to read them, not to just prepare them. Therefore the wording changed in ‘read and prepare’ instead of ‘prepare’.",Soft
,G2_Q03e,Use mathematics,Verwenden Sie Mathematik,,New in Cy2
,G2_Q04,"Ever used smartphone, tablet, laptop or desktop computer","Haben Sie jemals ein Smartphone, ein Tablet, einen Laptop oder einen Desktop-Computer verwendet?",,New in Cy2
H_Q05a,G2_Q05a,Use email,Verwenden Sie E-Mail,Combined with H_Q05h for Cy2,Soft
H_Q05h,G2_Q05a,Participate in real-time discussions on the internet,Nehmen Sie an Echtzeitdiskussionen im Internet teil,Combined with H_Q05a for Cy2,Soft
,G2_Q05a,How often use smartphone,Wie oft Smartphone nutzen?,,New in Cy2
,G2_Q05b,How often use tablet,Wie oft verwenden Sie das Tablet?,,New in Cy2
,G2_Q05c,How often use desktop computer,Wie oft wird ein Desktop-Computer verwendet?,,New in Cy2
,G2_Q06a,Use ICT to communicate with others,"Nutzen Sie IKT, um mit anderen zu kommunizieren",,New in Cy2
H_Q05c,G2_Q06b,Use ICT to access information,"Nutzen Sie IKT, um auf Informationen zuzugreifen",The item is generally somewhat broader and generic.,Soft
,G2_Q06c,Use ICT for entertainment or leisure,Nutzen Sie IKT zur Unterhaltung oder Freizeit,,New in Cy2
,G2_Q06d,Use ICT for online banking or e-commerce,Nutzen Sie IKT für Online-Banking oder E-Commerce,,New in Cy2
,G2_Q06e,Use ICT to manage your personal life,"Nutzen Sie IKT, um Ihr Privatleben zu verwalten",,New in Cy2
F_Q01b,H2_Q01,Cooperating or collaborating with co-workers,Mit Kollegen kooperieren oder zusammenarbeiten,In Cycle 1 this question was asked with a broken stem (In your ^JobLastjob what proportion of your time ^DoDid you usually spend…). This is however not necessary as only 1 question is asked in this section. Therefore in Cycle 2 it changed into a complete question with dynamic text: ‘In your current job (last job) what proportion of your time do (did) you usually spend cooperating or collaborating with co-workers?’  ,Soft
,H2_Q02a,Permanent/temporary team,Ständiges/temporäres Team,,New in Cy2
,H2_Q02b,Team leader,Teamleiter,,New in Cy2
,H2_Q02c,Influence selection team leader,Beeinflussen Sie den Leiter des Auswahlteams,,New in Cy2
,H2_Q02d,Influence work targets for group,Beeinflussen Sie die Arbeitsziele der Gruppe,,New in Cy2
,H2_Q02e,Influence others on tasks ,Beeinflussen Sie andere bei Aufgaben,,New in Cy2
F_Q02a,H2_Q03a,Job involve sharing work-related information with co-workers,"Bei der Arbeit geht es darum, arbeitsbezogene Informationen mit Kollegen zu teilen",,Strict
F_Q02b,H2_Q03b,"Job involve instructing, training or teaching people","Zu den Aufgaben gehört es, Menschen anzuleiten, auszubilden oder zu unterrichten",,Strict
F_Q02c,H2_Q03c,Job involve making speeches/presenting,Der Job umfasst das Halten von Reden/Präsentationen,,Strict
,H2_Q03d,Job involve dealing with people who are not employees at the workplace,"Der Job beinhaltet den Umgang mit Menschen, die nicht am Arbeitsplatz beschäftigt sind",,New in Cy2
F_Q03a,H2_Q04a,Job involve planning own activities,Der Job beinhaltet die Planung eigener Aktivitäten,,Strict
F_Q03c,H2_Q04b,Job involve organising own time,Der Job beinhaltet die Organisation der eigenen Zeit,,Strict
F_Q04a,H2_Q05a,Job involve persuading/influencing people,"Der Job besteht darin, Menschen zu überzeugen/zu beeinflussen",,Strict
F_Q04b,H2_Q05b,Job involve negotiating with people ,Der Job beinhaltet das Verhandeln mit Menschen,,Strict
F_Q05a,H2_Q06a,Problem solving tasks in job: relatively simple problems,Problemlösungsaufgaben im Beruf: relativ einfache Probleme,,Strict
F_Q05b,H2_Q06b,Problem solving tasks in job: complex problems ,Problemlösungsaufgaben im Beruf: komplexe Probleme,,Strict
F_Q06b,H2_Q07a,Work physically,Arbeite körperlich,,Strict
F_Q06c,H2_Q07b,Work using skill with hand,Arbeiten Sie mit Geschicklichkeit mit der Hand,The wording was changed to avoid that respondents consider e.g. typing when answering to this question. ,Soft
D_Q11a,H2_Q08a,Work autonomy: choose/change sequence tasks,Arbeitsautonomie: Reihenfolge der Aufgaben auswählen/ändern,,Strict
D_Q11b,H2_Q08b,Work autonomy: choose/change how to work,Arbeitsautonomie: Arbeitsweise wählen/ändern,,Strict
D_Q11c,H2_Q08c,Work autonomy: choose/change speed or rate,Arbeitsautonomie: Geschwindigkeit oder Rate wählen/ändern,,Strict
D_Q11d,H2_Q08d,Work autonomy: choose/change working hours,Arbeitsautonomie: Arbeitszeiten wählen/ändern,,Strict
,H2_Q09a,Learning new things,Neue Dinge lernen,,New in Cy2
D_Q13b,H2_Q09b,Learning-by-doing,Learning-by-doing,,Strict
D_Q13c,H2_Q09c,Keep up to date with new products/services ,Bleiben Sie über neue Produkte/Dienstleistungen auf dem Laufenden,,Strict
,H2_Q10,Helping co-workers learn new things,"Helfen Sie Ihren Kollegen, neue Dinge zu lernen",,New in Cy2
,H2_Q11,Determining nature or content of work,Bestimmen der Art oder des Inhalts der Arbeit,,New in Cy2
,H2_Q12,Working to tight deadlines/high speed,Arbeiten unter Einhaltung enger Fristen/hoher Geschwindigkeit,,New in Cy2
,H2_Q13a,Need for assistance,Bedarf an Hilfe,,New in Cy2
,H2_Q13b,Receive assistance from supervisor/manager ,Erhalten Sie Unterstützung vom Vorgesetzten/Manager,,New in Cy2
,H2_Q13c,Receive assistance from co-workers,Erhalten Sie Unterstützung von Kollegen,,New in Cy2
,H2_Q14a,Involved in improving work organisation,Beteiligt an der Verbesserung der Arbeitsorganisation,,New in Cy2
,H2_Q14b,Apply own ideas in work,Wenden Sie eigene Ideen in der Arbeit an,,New in Cy2
,H2_Q15a,Performance appraisal/evaluation interview,Leistungsbeurteilungs-/Bewertungsgespräch,,New in Cy2
,H2_Q16,Consequences performance appraisal,Konsequenzen Leistungsbeurteilung,,New in Cy2
,H2_Q17,Short repetitive tasks,"Kurze, sich wiederholende Aufgaben",,New in Cy2
,H2_Q18a,Changes in workplace,Veränderungen am Arbeitsplatz,,New in Cy2
,H2_Q18b,Changes supported by training activities,Durch Schulungsaktivitäten unterstützte Veränderungen,,New in Cy2
,H2_Q19a,Skills in relation to what is required,"Fähigkeiten in Bezug auf das, was erforderlich ist",,New in Cy2
,H2_Q19b,Specific skills in relation to what is required,"Spezifische Fähigkeiten in Bezug auf das, was erforderlich ist",,New in Cy2
,H2_Q20,Skills in relation to what is required when started job,"Fähigkeiten in Bezug auf die Anforderungen, die bei Arbeitsbeginn erforderlich sind",,New in Cy2
,I2_Q01a,Political trust,Politisches Vertrauen,,New in Cy2
,I2_Q01b,Social trust,Soziales Vertrauen,,New in Cy2
I_Q05f,I2_Q02,Voluntary work,Freiwilligenarbeit,,Strict
I_Q08,I2_Q03,General subjective health ,Allgemeine subjektive Gesundheit,,Strict
,I2_Q04,Patience,Geduld,,New in Cy2
,I2_Q05,Life satisfaction,Lebenszufriedenheit,,New in Cy2
J_Q01,J2_Q01,Household composition ,Haushaltszusammensetzung,,Strict
J_Q02a,J2_Q02a,Cohabitation status,Zusammenlebensstatus,,Strict
J_Q02c,J2_Q02b,Current  situation spouse  or partner,Aktuelle Situation des Ehepartners oder Partners,"Changed the category ''apprentice, internship'' into ''apprentice, intern'' for consistency reasons. The other categories have remained unchanged. ",Soft
J_Q03a,J2_Q03a,Children,Kinder,,Strict
J_Q03b,J2_Q03b,Number of children,Anzahl der Kinder,,Strict
J_Q03c,J2_Q03c,Age of only child,Alter des Einzelkindes,,Strict
J_Q03d1,J2_Q03d1,Age of youngest child,Alter des jüngsten Kindes,,Strict
J_Q03d2,J2_Q03d2,Age of oldest child,Alter des ältesten Kindes,,Strict
,J2_Q04a ,Mother/female guardian present during childhood,Während der Kindheit anwesende Mutter/Erziehungsberechtigte,,New in Cy2
J_Q06b,J2_Q04b,Highest education mother,Mutter mit der höchsten Bildung,ISCED categories changed,Soft
,J2_Q04d,Mother’s employment,Beschäftigung der Mutter,,New in Cy2
,J2_Q04e ,Mother’s job title,Berufsbezeichnung der Mutter,,New in Cy2
,J2_Q04f ,Mother’s occupation,Beruf der Mutter,,New in Cy2
,J2_Q05a ,Father/female guardian present during childhood,Vater/Erziehungsberechtigte während der Kindheit anwesend,,New in Cy2
J_Q07b,J2_Q05b,Highest education father,Vater mit höchster Bildung,ISCED categories changed,Soft
,J2_Q05d ,Father’s employment,Beschäftigung des Vaters,,New in Cy2
,J2_Q05e ,Father’s job title,Berufsbezeichnung des Vaters,,New in Cy2
,J2_Q05f ,Father’s occupation,Beruf des Vaters,,New in Cy2
J_Q08,J2_Q06,Number of books in childhood household,Anzahl der Bücher im Haushalt der Kindheit,Reference age changed to age 14 to bring in line with other international surveys that use age 14 as a reference age. ,Soft
,J2_Q07,Level of urbanization of residence at age 14,Urbanisierungsgrad des Wohnortes im Alter von 14 Jahren,,New in Cy2
,J2_Q08,Household composition at age 14,Haushaltszusammensetzung im Alter von 14 Jahren,,New in Cy2
,J2_Q09a,Number of siblings,Anzahl der Geschwister,,New in Cy2
,J2_Q09b,Birth order,Geburtsreihenfolge,,New in Cy2
,J2_Q09c,Birth order,Geburtsreihenfolge,,New in Cy2
,K2_Q01a,Extraversion - Sociability,Extraversion – Geselligkeit,,New in Cy2
,K2_Q01b,Agreeableness - Compassion ,Verträglichkeit – Mitgefühl,,New in Cy2
,K2_Q01c,Conscientiousness - Organization,Gewissenhaftigkeit – Organisation,,New in Cy2
,K2_Q01d,Emotional Stability - Anxiety,Emotionale Stabilität – Angst,,New in Cy2
,K2_Q01e,Open-Mindedness - Aesthetic Sensitivity,Aufgeschlossenheit – ästhetische Sensibilität,,New in Cy2
,K2_Q02a,Extraversion - Assertiveness,Extraversion – Durchsetzungsvermögen,,New in Cy2
,K2_Q02b,Agreeableness - Respectfulness,Verträglichkeit – Respekt,,New in Cy2
,K2_Q02c,Conscientiousness - Productiveness,Gewissenhaftigkeit – Produktivität,,New in Cy2
,K2_Q02d,Emotional Stability - Depression,Emotionale Stabilität – Depression,,New in Cy2
,K2_Q02e,Open-Mindedness - Intellectual Curiosity,Aufgeschlossenheit – intellektuelle Neugier,,New in Cy2
,K2_Q03a,Extraversion - Energy level,Extraversion – Energieniveau,,New in Cy2
,K2_Q03b,Agreeableness - Trust,Verträglichkeit – Vertrauen,,New in Cy2
,K2_Q03c,Conscientiousness - Responsibility,Gewissenhaftigkeit – Verantwortung,,New in Cy2
,K2_Q03d,Emotional Stability - Emotional Volatility,Emotionale Stabilität – Emotionale Volatilität,,New in Cy2
,K2_Q03e,Open-Mindedness - Creative imagination,Aufgeschlossenheit – kreative Vorstellungskraft,,New in Cy2
,K2_Q04a,Extraversion - Sociability,Extraversion – Geselligkeit,,New in Cy2
,K2_Q04b,Agreeableness - Compassion ,Verträglichkeit – Mitgefühl,,New in Cy2
,K2_Q04c,Conscientiousness - Organization,Gewissenhaftigkeit – Organisation,,New in Cy2
,K2_Q04d,Emotional Stability - Anxiety,Emotionale Stabilität – Angst,,New in Cy2
,K2_Q04e,Open-Mindedness - Aesthetic Sensitivity,Aufgeschlossenheit – ästhetische Sensibilität,,New in Cy2
,K2_Q05a,Extraversion - Assertiveness,Extraversion – Durchsetzungsvermögen,,New in Cy2
,K2_Q05b,Agreeableness - Respectfulness,Verträglichkeit – Respekt,,New in Cy2
,K2_Q05c,Conscientiousness - Productiveness,Gewissenhaftigkeit – Produktivität,,New in Cy2
,K2_Q05d,Emotional Stability - Depression,Emotionale Stabilität – Depression,,New in Cy2
,K2_Q05e,Open-Mindedness - Intellectual Curiosity,Aufgeschlossenheit – intellektuelle Neugier,,New in Cy2
,K2_Q06a,Extraversion - Energy level,Extraversion – Energieniveau,,New in Cy2
,K2_Q06b,Agreeableness - Trust,Verträglichkeit – Vertrauen,,New in Cy2
,K2_Q06c,Conscientiousness - Responsibility,Gewissenhaftigkeit – Verantwortung,,New in Cy2
,K2_Q06d,Emotional Stability - Emotional Volatility,Emotionale Stabilität – Emotionale Volatilität,,New in Cy2
,K2_Q06e,Open-Mindedness - Creative Imagination,Aufgeschlossenheit – kreative Vorstellungskraft,,New in Cy2
B_D01d,,Derived variable: Months elapsed since completing highest level of qualification,Abgeleitete Variable: Seit Abschluss der höchsten Qualifikationsstufe vergangene Monate,,Cy1 only
B_D03d,,Derived variable: Months elapsed since leaving education without completing programme,"Abgeleitete Variable: Monate, die seit dem Schulabbruch ohne Abschluss des Programms vergangen sind",,Cy1 only
B_D12h,,Derived variable: one or more learning activities reported,Abgeleitete Variable: eine oder mehrere gemeldete Lernaktivitäten,,Cy1 only
B_Q01a2,,Country name foreign education ,Ländername ausländische Bildung,,Cy1 only
B_Q01a3,,National qualification corresponds with foreign education,Der inländische Abschluss entspricht einer ausländischen Ausbildung,,Cy1 only
B_Q01d,,Month completed last qualification ,"Monat, in dem die letzte Qualifikation abgeschlossen wurde",,Cy1 only
B_Q03d,,Month stopped studying for uncompleted qualification,Monat brach das Studium wegen nicht abgeschlossenem Abschluss ab,,Cy1 only
B_Q04a,,Formal qualification in last 12 months ,Formaler Abschluss in den letzten 12 Monaten,,Cy1 only
B_Q04b,,Number of formal qualifications in last 12 months ,Anzahl der formalen Qualifikationen in den letzten 12 Monaten,,Cy1 only
B_Q05a,,Level of highest/last qualification ,Niveau der höchsten/letzten Qualifikation,,Cy1 only
B_Q05b,,Area of study highest/last qualification,Studienrichtung höchster/letzter Abschluss,,Cy1 only
B_Q05c,,Reasons to study job related,Gründe für ein berufsbezogenes Studium,,Cy1 only
B_Q10a,,Employed in last 12 months while studying ,In den letzten 12 Monaten während des Studiums beschäftigt,,Cy1 only
B_Q10b,,Study take place during working hours,Das Studium findet während der Arbeitszeit statt,,Cy1 only
B_Q10c,,Study useful for job or business ,Studie nützlich für Job oder Geschäft,,Cy1 only
B_Q11,,Employer paid for studying the qualification ,Der Arbeitgeber hat das Studium der Qualifikation bezahlt,,Cy1 only
B_Q12a,,Participate in open or distance education ,Nehmen Sie am offenen oder Fernunterricht teil,,Cy1 only
B_Q12b,,Frequency of participating in open or distance education ,Häufigkeit der Teilnahme an offenem oder Fernunterricht,,Cy1 only
B_Q12c,,Participate  in organized sessions for on-the-job training or training by supervisors or co-workers,Nehmen Sie an organisierten Schulungen am Arbeitsplatz oder Schulungen durch Vorgesetzte oder Kollegen teil,,Cy1 only
B_Q12d,,Frequency of participating in organized sessions for on-the-job training or training by supervisors or co-workers,Häufigkeit der Teilnahme an organisierten Schulungen am Arbeitsplatz oder Schulungen durch Vorgesetzte oder Kollegen,,Cy1 only
B_Q12e,,Participate in seminars or workshops,Nehmen Sie an Seminaren oder Workshops teil,,Cy1 only
B_Q12f,,Frequency of participating in seminars or workshops ,Häufigkeit der Teilnahme an Seminaren oder Workshops,,Cy1 only
B_Q12g,,Participate in courses or private lessons ,Nehmen Sie an Kursen oder Privatstunden teil,,Cy1 only
B_Q12h,,Frequency of participating in courses or private lessons ,Häufigkeit der Teilnahme an Kursen oder Privatstunden,,Cy1 only
B_Q20b,,Time job-related activities ,Zeitlich berufsbezogene Tätigkeiten,,Cy1 only
B_R12,,Introduction to training questions,Einführung in Trainingsfragen,,Cy1 only
B_R13,,Introduction to questions on most recent training,Einführung in Fragen zu den neuesten Schulungen,,Cy1 only
B_S01a1,,Specify name of foreign education,Geben Sie den Namen der ausländischen Ausbildung an,,Cy1 only
B_S01a2,,Specify country name foreign education,Geben Sie den Namen des Landes für ausländische Bildung an,,Cy1 only
C_Q02c,,Start job within three months or in more than three months,Beginn der Stelle innerhalb von drei Monaten oder in mehr als drei Monaten,,Cy1 only
C_Q04a,,Job search: get in contact public employment office,Stellensuche: Nehmen Sie Kontakt mit dem Arbeitsamt auf,,Cy1 only
C_Q04b,,Job search: get in contact private agency,Jobsuche: Kontaktieren Sie eine private Agentur,,Cy1 only
C_Q04c,,Job search: apply to employers directly,Jobsuche: Bewerben Sie sich direkt beim Arbeitgeber,,Cy1 only
C_Q04d,,Job search: Ask among social network,Jobsuche: Fragen Sie in sozialen Netzwerken nach,,Cy1 only
C_Q04e,,Job search: place or answer job advertisements ,Jobsuche: Stellenanzeigen schalten oder beantworten,,Cy1 only
C_Q04f,,Job search: study job advertisements,Jobsuche: Stellenanzeigen studieren,,Cy1 only
C_Q04g,,Job search: take a recruitment test/examination/undergo interview,Jobsuche: Machen Sie einen Einstellungstest/eine Prüfung/ein Vorstellungsgespräch,,Cy1 only
C_Q04h,,"Job search: look for land, premises or equipment","Jobsuche: Suchen Sie nach Grundstücken, Räumlichkeiten oder Ausrüstung",,Cy1 only
C_Q04i,,Job search: apply for permits/licenses or financial resources,Jobsuche: Beantragung von Genehmigungen/Lizenzen oder finanziellen Mitteln,,Cy1 only
C_Q04j,,Job search: anything else,Jobsuche: alles andere,,Cy1 only
C_S04j,,Job search: specify anything else ,Jobsuche: Geben Sie etwas anderes an,,Cy1 only
D_Q13a,,Learning new work-related things from co-workers or supervisors,Lernen Sie neue arbeitsbezogene Dinge von Kollegen oder Vorgesetzten,,Cy1 only
F_Q02d,,Selling a product or selling a service,Verkauf eines Produkts oder Verkauf einer Dienstleistung,,Cy1 only
F_Q02e,,Advising people,Menschen beraten,,Cy1 only
F_Q03b,,Planning the activities of others,Planen Sie die Aktivitäten anderer,,Cy1 only
F_Q07a,,Skills to cope demanding duties that are required,Fähigkeiten zur Bewältigung anspruchsvoller Aufgaben,,Cy1 only
F_Q07b,,Further training to cope ,Weiteres Training zur Bewältigung,,Cy1 only
G_D07a,,Derived variable ^HaveHad,Abgeleitete Variable ^HaveHad,,Cy1 only
G_D07b,,Derived variable ^NeedNeeded,Abgeleitete Variable ^NeedNeeded,,Cy1 only
G_Q01d,,Read articles in professional journals or scholarly publications,Lesen Sie Artikel in Fachzeitschriften oder wissenschaftlichen Publikationen,,Cy1 only
G_Q01e,,Read books,Bücher lesen,,Cy1 only
G_Q01h,,"Read diagrams, maps or schematics ","Lesen Sie Diagramme, Karten oder Schaltpläne",,Cy1 only
G_Q02b,,"Write articles for newspapers, magazines or newsletters","Schreiben Sie Artikel für Zeitungen, Zeitschriften oder Newsletter",,Cy1 only
G_Q02c,,Write reports,Schreiben Sie Berichte,,Cy1 only
G_Q03b,,"Calculate prices, costs or budgets","Berechnen Sie Preise, Kosten oder Budgets",,Cy1 only
G_Q03c,,"Use or calculate fractions, decimals or percentages","Verwenden oder berechnen Sie Brüche, Dezimalzahlen oder Prozentsätze",,Cy1 only
G_Q03d,,Use a calculator - either hand-held or computer based,Verwenden Sie einen Taschenrechner – entweder in der Hand oder am Computer,,Cy1 only
G_Q03g,,Use simple algebra or formulas,Verwenden Sie einfache Algebra oder Formeln,,Cy1 only
G_Q05d,,Conduct transactions on the internet,Führen Sie Transaktionen im Internet durch,,Cy1 only
G_Q05e,,Use spreadsheet software,Verwenden Sie Tabellenkalkulationssoftware,,Cy1 only
G_Q05f,,Use a word processor,Verwenden Sie ein Textverarbeitungsprogramm,,Cy1 only
G_Q06,,Level of computer use needed to perform  job,"Grad der Computernutzung, die zur Ausführung der Aufgabe erforderlich ist",,Cy1 only
G_Q07,,Computer skills needed in job,Computerkenntnisse sind im Job erforderlich,,Cy1 only
G_Q08,,Lack of computer skills,Mangelnde Computerkenntnisse,,Cy1 only
H_Q01d,,Read articles in professional journals or scholarly publications,Lesen Sie Artikel in Fachzeitschriften oder wissenschaftlichen Publikationen,,Cy1 only
H_Q01h,,"Read diagrams, maps or schematics ","Lesen Sie Diagramme, Karten oder Schaltpläne",,Cy1 only
H_Q02b,,"Write articles for newspapers, magazines or newsletters","Schreiben Sie Artikel für Zeitungen, Zeitschriften oder Newsletter",,Cy1 only
H_Q02c,,Write reports,Schreiben Sie Berichte,,Cy1 only
H_Q03b,,"Calculate prices, costs or budgets","Berechnen Sie Preise, Kosten oder Budgets",,Cy1 only
H_Q03c,,"Use or calculate fractions, decimals or percentages","Verwenden oder berechnen Sie Brüche, Dezimalzahlen oder Prozentsätze",,Cy1 only
H_Q03d,,Use a calculator - either hand-held or computer based,Verwenden Sie einen Taschenrechner – entweder in der Hand oder am Computer,,Cy1 only
H_Q03g,,Use simple algebra or formulas,Verwenden Sie einfache Algebra oder Formeln,,Cy1 only
H_Q03h,,Use more advanced math or statistics,Verwenden Sie fortgeschrittenere Mathematik oder Statistiken,,Cy1 only
H_Q05d,,Conduct transactions on the internet,Führen Sie Transaktionen im Internet durch,,Cy1 only
H_Q05e,,Use spreadsheet software,Verwenden Sie Tabellenkalkulationssoftware,,Cy1 only
H_Q05f,,Use a word processor,Verwenden Sie ein Textverarbeitungsprogramm,,Cy1 only
H_Q05g,,Use a programming language to program or write computer code,"Verwenden Sie eine Programmiersprache, um Computercode zu programmieren oder zu schreiben",,Cy1 only
I_Q04b,,"When I hear or read about new ideas, I try to relate them to real life situations to which they might apply","Wenn ich von neuen Ideen höre oder lese, versuche ich, sie mit realen Situationen in Verbindung zu bringen, auf die sie anwendbar sein könnten",,Cy1 only
I_Q04d,,I like learning new things,Ich lerne gerne neue Dinge,,Cy1 only
I_Q04h,,"When I come across something new, I try to relate it to what I already know","Wenn ich auf etwas Neues stoße, versuche ich, es mit dem in Verbindung zu bringen, was ich bereits weiß",,Cy1 only
I_Q04j,,I like to get to the bottom of difficult things,"Ich mag es, schwierigen Dingen auf den Grund zu gehen",,Cy1 only
I_Q04l,,I like to figure out how different ideas fit together,"Ich mag es herauszufinden, wie verschiedene Ideen zusammenpassen",,Cy1 only
I_Q04m,,"If I don't understand something, I look for additional information to make it clearer","Wenn ich etwas nicht verstehe, suche ich nach zusätzlichen Informationen, um es klarer zu machen",,Cy1 only
I_Q06b,,Political efficacy,Politische Wirksamkeit,,Cy1 only
I_Q07b,,Social trust,Soziales Vertrauen,,Cy1 only
I_R01,,Introduction,Einführung,,Cy1 only
